name,road,district,province
Expressway Police Station 2,,Huai Khwang,Bangkok
Chokchai Police Station,Lat Phrao Rd,Wang Thonglang,Bangkok
Tiantalay Police Station,,Bang Khun Thian,Bangkok
The Government Lottery Office,Nonthaburi 1 Rd,Mueang Nonthaburi,Nonthaburi
Vadhana District Office,"Soi 55, Sukhumvit Rd",Watthana,Bangkok
Passport Office - Central Bangna,Bang Na Trad Rd,Bang Na,Bangkok
The Revenue Department,"Soi 7, Phahonyothin Rd",Phaya Thai,Bangkok
Khlongtoei District Office,Kluai Nam Thai Tat Mai Rd,Khlong Toei,Bangkok
Chatuchak District Office,"Soi 34, Wiphawadi-Rangsit Rd",Chatuchak,Bangkok
Ratchathewi District Office,Phayatai Rd,Ratchathewi,Bangkok
Bangna District Office,Bang Na Trad Rd,Bang Na,Bangkok
Huai Khwang District Office,Prachautit Rd,Huai Khwang,Bangkok
Bangrak District Office,Naret Rd,Bang Rak,Bangkok
Phra Khanong District Office,Sukhumvit Rd,Phra Khanong,Bangkok
Pathumwan District Office,"Soi Chula 5, Rama 4 Rd",Pathum Wan,Bangkok
Bangsue District Office,Rim Khlong Prapa Rd,Bang Sue,Bangkok
The Bangkok North Municipal Court,Ratchadapisek Rd,Chatuchak,Bangkok
Sathorn District Office,"Soi 18/7, Chan Rd",Sathon,Bangkok
Thanyaburi Provincial Court,Rangsit-Nakorn Nayo Rd,Thanyaburi,Pathum Thani
Fire And Rescue Department,Sri Ayutthaya Rd,Ratchathewi,Bangkok
Bangkok Metropolitan Land Office Huai Khwang Branch,"Soi 18, Ratchadapisek Rd",Huai Khwang,Bangkok
Department of Livestock Development,Phayatai Rd,Ratchathewi,Bangkok
Bang Khen District Office,Phahonyothin Rd,Bang Khen,Bangkok
Ministry of Labor,Mit Mitri Rd,Din Daeng,Bangkok
Bangkapi District Office,Lat Phrao Rd,Bang Kapi,Bangkok
National Bureau of Agricultural Commodity & Food Standards,Phahonyothin Rd,Chatuchak,Bangkok
Royal Thai Armed Forces Headquarters,Chaengwattana Rd,Lak Si,Bangkok
Yan Nawa District Office,"Soi 28, Naratiwas Ratchanakarin Rd",Yan Nawa,Bangkok
Phaya Thai District Office,"Soi Aree 2, Soi 7, Phayatai Rd",Phaya Thai,Bangkok
Ding Daeng District Office,Mit Mitri Rd,Din Daeng,Bangkok
Supreme Court of Thailand,Ratchadamnoen Nai Rd,Phra Nakhon,Bangkok
Bangphlat District Office,Charansanitwong Rd,Bang Phlat,Bangkok
Suan Luang District Office,Pattanakarn Rd,Suan Luang,Bangkok
Prawet District Office,"Soi 81, Chaloem Phrakiat Rama 9 Rd",Prawet,Bangkok
Royal Forest Department,Phahonyothin Rd,Chatuchak,Bangkok
The Customs Department,Sunthorn Kosa Rd,Khlong Toei,Bangkok
Dusit District Office,Sukhothai Rd,Dusit,Bangkok
Lat Phrao District Office,Nak Niwat Rd,Lat Phrao,Bangkok
National Research Council of Thailand,Phahonyothin Rd,Chatuchak,Bangkok
Labour Control Department Of Employment - Suvarnabhumi Airport,,Bang Phli,Samut Prakan
Marine Department,Yothi Rd,Samphanthawong,Bangkok
Bangkhuntien District Office,Rama 2 Rd,Bang Khun Thian,Bangkok
Phra Nakhon District Office,"Soi 3, Samsen Rd",Phra Nakhon,Bangkok
Office of the National Anti-Corruption Commission,Nonthaburi 1 Rd,Mueang Nonthaburi,Nonthaburi
Cooperative Auditing Department,Krung Kasem Rd,Phra Nakhon,Bangkok
Laksi District Office,"Soi 10, Chaengwattana Rd",Lak Si,Bangkok
Pom Prap Satrru Phai District Office,Suphanmit Rd,Pom Prap Sattru Phai,Bangkok
Donmuang District Office,Chang Akat Uthit Rd,Don Mueang,Bangkok
Ladkrabang District Office,"Soi 15, Lad Krabang Rd",Lat Krabang,Bangkok
Thonburi District Office,Thoetthai Rd,Thon Buri,Bangkok
Samphanthawong District Office,Yota Rd,Samphanthawong,Bangkok
Bang Khae District Office,Kanjanaphisek Rd,Bang Khae,Bangkok
The Administrative Court,Chaengwattana Rd,Lak Si,Bangkok
Office of Insurance Commission,Ratchadapisek Rd,Chatuchak,Bangkok
Treasury Department,"Soi Areesampan, Rama 6 Rd",Phaya Thai,Bangkok
Bangkok City Hall,Dinso Rd,Phra Nakhon,Bangkok
Ministry of Commerce,Nonthaburi 1 Rd,Mueang Nonthaburi,Nonthaburi
The Criminal Court,Ratchadapisek Rd,Chatuchak,Bangkok
Bang Bon District Office,"Soi 135/1, Ekachai Rd",Bang Bon,Bangkok
Bangkholaem District Office,"Soi 7, Rama 3 Rd",Bang Kho Laem,Bangkok
Department of Agricultural Extension,Phahonyothin Rd,Chatuchak,Bangkok
Saphansoong District Office,"Soi 118, Ramkhamhaeng Rd",Saphan Sung,Bangkok
Bueng Kum District Office,Serithai Rd,Bueng Kum,Bangkok
Bangkok Noi District Office,"Soi 32, Charansanitwong Rd",Bangkok Noi,Bangkok
Judicial Training Institute,Ratchadapisek Rd,Chatuchak,Bangkok
Office of Atoms For Peace,Wiphawadi-Rangsit Rd,Chatuchak,Bangkok
Fine Arts Department,Na Phrathat Rd,Phra Nakhon,Bangkok
Department of Groundwater Resources,"Soi 54, Ngamwongwan Rd",Chatuchak,Bangkok
Land Development Department,Phahonyothin Rd,Chatuchak,Bangkok
Civil Court of Thailand,Ratchadapisek Rd,Chatuchak,Bangkok
Department of Cultural Promotion,Watthanatham Rd,Huai Khwang,Bangkok
Department of International Trade Promotion,Ratchadapisek Rd,Chatuchak,Bangkok
Ministry of Finance,Rama 6 Rd,Phaya Thai,Bangkok
Saimai District Office,Sukhaphiban 5 Rd,Sai Mai,Bangkok
Minburi District Office,Sriburanukit Rd,Min Buri,Bangkok
Office of Agricultural Regulation,Ngamwongwan Rd,Chatuchak,Bangkok
Cooperative Promotion Department,Krung Kasem Rd,Phra Nakhon,Bangkok
Department of Consular Affairs,Chaengwattana Rd,Lak Si,Bangkok
Office of the Auditor General,"Soi Areesampan, Rama 6 Rd",Phaya Thai,Bangkok
United Nations Thailand,Ratchadamnoen Nok Rd,Phra Nakhon,Bangkok
Wang Thonglang District Office,"Soi 85-87, Lat Phrao Rd",Wang Thonglang,Bangkok
Bangkok Yai District Office,Ratchadapisek Rd,Bangkok Yai,Bangkok
Thawi Watthana District Office,Soi 5,Thawi Watthana,Bangkok
Khlong San District Office,Lardya Rd,Khlong San,Bangkok
Bangkok City Hall 2,Mit Mitri Rd,Din Daeng,Bangkok
Ministry of Transport,Ratchadamnoen Nok Rd,Pom Prap Sattru Phai,Bangkok
Rice Department,Phahonyothin Rd,Chatuchak,Bangkok
Ministry of Tourism and Sports,Ratchadamnoen Nok Rd,Pom Prap Sattru Phai,Bangkok
Thanyaburi District Office,Rangsit-Nakorn Nayo Rd,Thanyaburi,Pathum Thani
The Court of Appeal,Ratchadapisek Rd,Chatuchak,Bangkok
Ministry of Education,Ratchadamnoen Nok Rd,Dusit,Bangkok
Ministry of Culture,Borom Rachachonnanee Rd,Bang Phlat,Bangkok
Department of Special Investigation,Chaengwattana Rd,Lak Si,Bangkok
Ministry of Interior,Atsadang Rd,Phra Nakhon,Bangkok
Office of Agricultural Economics,Ngamwongwan Rd,Chatuchak,Bangkok
Ministry of Agriculture and Cooperatives,Ratchadamnoen Nok Rd,Phra Nakhon,Bangkok
Ministry of Foreign Affairs,Sri Ayutthaya Rd,Ratchathewi,Bangkok
Office of the Prime Minister,Luk Luang Rd,Dusit,Bangkok
Government House of Thailand,Phitsanulok Rd,Dusit,Bangkok
Unesco,Sukhumvit Rd,Khlong Toei,Bangkok
Royal Thai Air Force,Phahonyothin Rd,Don Mueang,Bangkok
Royal Thai Army,Ratchadamnoen Nok Rd,Phra Nakhon,Bangkok
National Assembly of Thailand,Uthong Nai Rd,Dusit,Bangkok
Chom Thong District Office,"Soi 3, Rama 2 Rd",Chom Thong,Bangkok
Khannayao District Office,"Soi 11/5, Kanjanaphisek Rd",Khan Na Yao,Bangkok
Ministry of Public Health,Tiwanon Rd,Mueang Nonthaburi,Nonthaburi
Ministry of Information and Communication Technology,Chaengwattana Rd,Lak Si,Bangkok
Rat Burana District Office,Rat Burana Rd,Rat Burana,Bangkok
Ministry of Science and Technology,Rama 6 Rd,Ratchathewi,Bangkok
Ministry of Justice,Chaengwattana Rd,Lak Si,Bangkok
Ministry of Energy,"Soi 11, Wiphawadi-Rangsit Rd",Chatuchak,Bangkok
Royal Thai Mint,Phahonyothin Rd,Khlong Luang,Pathum Thani
Defence Energy Department,Petchaburi Rd,Ratchathewi,Bangkok
Bureau of Logistics,Phahonyothin Rd,Chatuchak,Bangkok
Royal Thai Army Chemical Department,Phahonyothin Rd,Chatuchak,Bangkok
The Government Public Relations Department,Rama 6 Rd,Phaya Thai,Bangkok
Nong Chok District Office,Chueam Samphan Rd,Nong Chok,Bangkok
Phasi Charoen District Office,"Soi 54, Petchkasem Rd",Phasi Charoen,Bangkok
Survey and Mapping Building,Bond Street,Pak Kret,Nonthaburi
